apartment_id,price_usd,total_area,living_area,kitchen_area,floor,floors_count,rooms_count,district,wall_type,latitude,longitude
33442601,677400,225.8,90.6,25.6,22,23,4,Черная Гора,кирпич,50.4100752,30.54653482
34082211,77000,42.0,22.1,15.0,23,24,1,Минский Массив,кирпич,50.52115077,30.46581041
33442471,301200,100.4,56.2,15.0,17,19,3,Черная Гора,кирпич,50.4100752,30.54653482
34062416,155500,94.0,54.0,12.0,6,23,3,Дарницкий,кирпич,50.39221261,30.62645821
33451174,121000,75.4,37.0,15.0,19,28,2,Дарницкий,керамический блок,50.41095544,30.60010318
34070059,81000,72.2,36.1,11.3,6,25,2,Куреневка,,50.49813336,30.46873306
34073253,65000,71.9,41.9,8.3,9,16,3,Троещина,панель,50.53011502,30.60768773
34082147,50000,51.0,30.0,8.0,6,9,2,Деснянский,кирпич,50.51418248,30.60365983
34062554,51999,27.0,15.0,3.0,9,9,1,Нивки,кирпич,50.49423254,30.40696831
34062343,74990,51.0,19.7,13.5,4,19,1,Нивки,кирпич,50.47090263,30.40660406
34070152,135000,58.9,25.1,13.7,20,25,1,Демеевка,,50.39888572,30.51948396
34082195,90000,44.0,20.0,12.0,8,16,1,Подольский,керамический блок,50.4848799,30.41595449
33565172,92000,87.6,46.1,16.2,17,26,3,Днепровский,кирпич,50.45502841,30.60636303
34082168,83000,51.4,25.0,9.0,5,9,2,Оболонь,панель,50.5168282,30.51582702
34082065,185000,132.0,67.5,15.2,17,18,4,Сырец,монолитно-каркасный,50.46890083,30.43133365
34082181,76000,63.0,33.2,7.0,2,9,3,Сырец,панель,50.48297219,30.4531267
34082167,170000,81.0,55.0,19.0,2,9,4,Саперное Поле,кирпич,50.41612446,30.52392562
33559344,115000,41.0,16.0,17.0,4,21,1,Голосеев,кирпич,50.39421371,30.47291931
34082114,136000,99.9,55.8,24.9,21,25,3,Дарницкий,кирпич,50.41670977,30.63354513
34082112,84000,86.4,48.0,9.1,6,18,3,Дарницкий,кирпич,50.40961441,30.63472334
34082104,150000,117.0,65.0,17.0,23,29,3,Позняки,кирпич,50.40751665,30.63512934
34082043,75000,77.0,40.6,8.4,13,16,3,Харьковский Массив,панель,50.40796894,30.67005643
34082095,230000,100.0,56.0,40.0,23,23,2,Дарницкий,керамический блок,50.40240506,30.61409516
34082141,55000,45.0,28.0,7.0,2,5,2,Сырец,,50.47697963,30.43553214
34081894,57000,52.0,30.0,9.0,10,12,2,Воскресенка,панель,50.49304869,30.59130003
34081941,51000,44.9,29.3,6.9,5,5,2,Воскресенка,панель,50.47286063,30.60134876
34082032,72000,72.0,37.9,9.0,9,10,3,Минский Массив,панель,50.51621874,30.46008451
34082071,88000,37.6,16.0,8.0,4,16,1,Святошино,монолитно-каркасный,50.44716534,30.38128072
34082100,130000,46.6,15.0,20.0,2,24,1,Дарницкий,керамический блок,50.4206126,30.61294876
34082089,125000,80.0,60.0,9.0,7,9,3,Печерск,кирпич,50.43096477,30.54041005
34081998,68000,29.6,15.6,10.0,5,21,1,Новая Дарница,,50.42816621,30.64780343
34082067,80000,32.0,12.0,10.0,1,3,2,Подол,кирпич,50.46765381,30.51611485
34082026,75000,70.0,50.0,9.0,4,16,3,Троещина,кирпич,50.53135969,30.61150837
34082074,75000,36.5,19.2,10.0,11,12,1,Харьковский Массив,монолитно-каркасный,50.40496695,30.67089532
33780889,235000,60.6,13.2,28.3,5,21,1,Саперное Поле,кирпич,50.41976824,30.52673565
33793787,245000,82.0,60.0,15.0,12,26,2,Саперное Поле,кирпич,50.42112952,30.52632844
33886765,150000,56.2,29.6,10.4,1,6,2,Зверинец,кирпич,50.41534868,30.54943417
34081607,115000,49.8,15.6,19.7,17,26,1,Дарницкий,монолитно-кирпичный,50.39685875,30.59994974
34082047,105000,61.1,32.2,10.7,6,7,2,Саперная Слободка,монолитно-каркасный,50.39520416,30.53559105
33984995,285000,105.3,55.5,19.5,23,26,3,Дарницкий,кирпич,50.39509864,30.60345231
32400914,126500,53.0,27.9,24.0,3,16,1,Теремки-2,газобетон,50.37018674,30.44046418
34082014,82000,39.5,18.5,11.0,7,16,1,Оболонь,панель,50.50840537,30.4973274
34081962,114000,41.5,13.0,17.8,16,23,1,Подольский,газоблок,50.5024812,30.41012675
34081976,95000,58.0,40.0,10.0,6,10,2,Конча-Заспа,кирпич,50.30105465,30.57331813
34081992,28000,16.3,8.8,5.0,2,2,1,Дарницкий,дерево и кирпич,50.374635,30.607002
34081966,85000,46.0,25.0,7.0,7,16,2,Оболонь,панель,50.50789175,30.50721828
34081996,128000,67.6,35.6,17.0,10,13,2,Берковец,монолитно-каркасный,50.4982256,30.35708197
34081939,72000,46.0,18.0,9.0,6,16,1,,кирпич,50.4057019,30.6173164
34081968,95000,61.0,32.1,9.0,8,9,3,,панель,50.52172736,30.52206514
34081884,220000,102.0,58.0,14.0,3,14,3,Солдатская Слободка,монолитно-каркасный,50.45464723,30.48528895
33613820,89000,47.8,19.5,9.2,3,32,1,Шевченковский,кирпич,50.44205346,30.49665946
